ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
MW-2;9457274.973;535004.1299;M-11;18.131869;20.851649;2.71978;867.945422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;S1;-;-;-;-;-;-;-;-
MW-2;9457274.973;535004.1299;M-12;20.851649;23.736265;2.884616;877.477447;-;-;-;-;-;-;-;-;-;-;-;-;-;-;S1;-;-;-;-;-;-;-;-
MW-2;9457274.973;535004.1299;M-13;23.736265;26.785715;3.04945;919.595568;-;-;-;-;-;-;-;-;-;-;-;-;-;-;S1;-;-;-;-;-;-;-;-
MW-2;9457274.973;535004.1299;M-14;26.785715;36.428571;9.642856;954.886412;-;-;-;-;-;-;-;-;-;-;-;-;-;-;S1;-;-;-;-;-;-;-;-
MW-2;9457274.973;535004.1299;M-15;36.428571;-;-;1030.298743;-;-;-;-;-;-;-;-;-;-;-;-;-;-;S1;-;-;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
