ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
C-2;9457789;536002;M-4;2.7;4;1.3;-;-;-;-;SM;NP;NP;NP;12.2;-;-;-;-;-;-;S2;-;-;-;-;-;0.8;81;18.2
C-2;9457789;536002;M-5;4;4.7;0.7;-;-;-;-;GP-GC;15.3;15.3;14.1;8.2;-;-;-;-;-;-;S2;-;-;-;-;-;48.6;39.8;11.6
C-2;9457789;536002;M-6;4.7;5;0.3;-;-;-;-;GC;16.5;16.5;18.3;8.7;-;-;-;-;-;-;S2;-;-;-;-;-;56.7;29.6;13.7
MW-1;9457777.482;535994.1596;;0;1.071429;1.071429;184.207413;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;1.071429;2.307693;1.236264;294.467084;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;2.307693;3.708791;1.401098;254.60066;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;3.708791;5.274726;1.565935;291.926934;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;5.274726;7.005495;1.730769;386.648484;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;7.005495;8.9011;1.895605;428.534623;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;8.9011;10.961539;2.060439;456.318035;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;10.961539;13.186814;2.225275;469.665551;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;13.186814;15.576924;2.39011;474.791256;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;15.576924;18.131869;2.554945;516.728245;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;18.131869;20.851649;2.71978;524.9688;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;20.851649;23.736265;2.884616;531.282707;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;23.736265;26.785715;3.04945;533.687492;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;26.785715;36.428571;9.642856;561.777313;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-1;9457777.482;535994.1596;;36.428571;-;-;561.777294;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
