ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);Densidad húmeda (gr/cm3);Densidad seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
C-2;9405397;542831;M-1;0;5;4.6;;;;;SP;;;;2.7;27.87;0;1.942;1.698;;;S2;621;259;160;;;;;
C-3;9405430;542884;M-1;0;5;5;;;;;SP;;;;0.5;26.58;0;1.55;1.532;;;S2;;;;;;;;
C-4;9405431;542921;M-1;0;5;5;;;;;SP;;;;1.2;;;1.93;1.685;;;S2;753;424;200;;;;;
C-5;9405417;542928;M-1;0;5;5;;;;;SP;;;;0.2;26.56;0;1.54;1.525;;;S2;;;;;Bajo ;;;
C-6;9405431;542971;M-1;0;5;5;;;;;SP;;;;0.7;;;;;;;S2;;;;;;;;
C-7;9405382;542921;M-1;0;5;5;;;;;SP;;;;0.4;;;1.921;1.667;;;S2;261;152;60;;;;;
C-8;9405372;542977;M-1;0;5;5;;;;;SP;;;;0.5;26.14;0;1.538;1.522;;;S2;;;;;;;;
MW-1;9405429.958;542891.0468;M-1;0;1.071429;1.071429;258.627564;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-2;1.071429;2.307692;1.236263;266.209155;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-3;2.307692;3.708791;1.401099;308.719963;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-4;3.708791;5.274725;1.565934;347.153008;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-5;5.274725;7.005495;1.73077;358.11913;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-6;7.005495;8.901099;1.895604;373.411626;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-7;8.901099;10.961538;2.060439;391.785026;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-8;10.961538;13.186812;2.225274;410.081029;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-9;13.186812;15.576922;2.39011;426.977605;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-10;15.576922;18.131867;2.554945;431.304753;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-11;18.131867;20.851647;2.71978;454.027414;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-12;20.851647;23.736263;2.884616;475.059807;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-13;23.736263;26.785713;3.04945;495.777935;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-14;26.785713;36.428571;9.642858;516.611099;;;;;;;;;;;;;;;;;;;;;;;
MW-1;9405429.958;542891.0468;M-15;36.428571;;;520.95294;;;;;;;;;;;;;;;;;;;;;;;
MW-2;9405368.694;542914.7643;M-1;0;1.071429;1.071429;257.940888;;;;;;;;;;;;;;;;;;;;;;;
