ítem;Norte;Este;Muestra;De;Hasta;potencia;Vs (m/s);Vp (m/s);Nspt;(N1)60;SUCS;LL %;LP;IP %;W%;ø °;C (Kg/cm2);? húmeda (gr/cm3);? seca (gr/cm3);Qadm. (kg/cm2);Qult. (kg/cm2);Tipo de Suelo;SST (ppm);SO4 (ppm);CL (ppm);pH (ppm);Colapso;Gravas;Arenas;Finos
MW-2;9464233.785;509647.0507;M-14;26.785715;36.428571;9.642856;377.207553;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-2;9464233.785;509647.0507;M-15;36.428571;-;-;377.207547;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-1;0;1.071429;1.071429;249.839029;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-2;1.071429;2.307693;1.236264;231.434954;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-3;2.307693;3.708791;1.401098;256.560428;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-4;3.708791;5.274726;1.565935;303.946638;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-5;5.274726;7.005495;1.730769;315.845463;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-6;7.005495;8.9011;1.895605;308.941228;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-7;8.9011;10.961539;2.060439;301.348144;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-8;10.961539;13.186814;2.225275;307.52092;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-9;13.186814;15.576924;2.39011;312.228905;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-10;15.576924;18.131869;2.554945;326.760684;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-11;18.131869;20.851649;2.71978;332.600007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-12;20.851649;23.736265;2.884616;334.994752;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-13;23.736265;26.785715;3.04945;336.370758;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-14;26.785715;36.428571;9.642856;341.985376;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MW-3;9464226.754;509658.9038;M-15;36.428571;-;-;341.985375;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
